,comment,coupon,name,price,shop
0,85万+,"自营,闪购,每满1299-100",荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1299.00,荣耀京东自营旗舰店
1,100万+,"自营,秒杀,券1680-200",Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,6999.00,京东Apple产品专营店
2,8.5万+,"自营,新品",小米8青春版 镜面渐变AI双摄 6GB+64GB 梦幻蓝 全网通4G 双卡双待 全面屏拍照游戏智能,1699.00,小米京东自营旗舰店
3,76万+,"自营,闪购,券1980-300",荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻影蓝全网通 移动联通电信4G 双卡双待 游戏,2299.00,荣耀京东自营旗舰店
4,41万+,自营,一加手机6 8GB+128GB 亮瓷黑 全面屏双摄游戏手机 全网通4G 双卡双待,3199.00,一加手机京东自营官方旗舰店
5,5.1万+,"自营,赠",OPPO Find X曲面全景屏 波尔多红 8GB+128GB 全网通 移动联通电信全网通4G 双卡双待,4999.00,OPPO京东自营官方旗舰店
6,147万+,"自营,秒杀",Apple iPhone 8 Plus 64GB 红色特别版 移动联通电信4G手机,5599.00,京东Apple产品专营店
7,45万+,"自营,券800-100,赠",华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G 双卡双待,3388.00,华为京东自营官方旗舰店
8,104万+,"自营,秒杀",Apple iPhone 8 64GB 红色特别版 移动联通电信4G手机,4599.00,京东Apple产品专营店
9,12万+,"自营,赠",黑鲨游戏手机 8GB+128GB 极夜黑 液冷更快 全网通4G 双卡双待,2999.00,黑鲨京东自营官方旗舰店
10,28万+,"自营,赠",华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光色 全网通移动联通电信4G 双卡双待,4988.00,华为京东自营官方旗舰店
11,38万+,"自营,秒杀,券1280-120",vivo Z1极光特别版 新一代全面屏AI双摄手机 4GB+64GB 移动联通电信全网通4G 双卡双待,1398.00,vivo京东自营官方旗舰店
12,14万+,自营,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G 双卡双待,2799.00,华为京东自营官方旗舰店
13,16万+,自营,诺基亚 NOKIA X6 6GB+64GB 星空黑 全网通 双卡双待 移动联通电信4G手机,1499.00,诺基亚手机京东自营旗舰店
14,6.9万+,"自营,新品,闪购",荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2699.00,荣耀京东自营旗舰店
15,115万+,"自营,每满1099-100",荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金,1099.00,荣耀京东自营旗舰店
16,6.9万+,"自营,赠",OPPO A5 全面屏拍照手机 4GB+64GB 幻镜粉 全网通 移动联通电信4G 双卡双待手机,1499.00,OPPO京东自营官方旗舰店
17,41万+,"自营,新品,赠",荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏 双卡双待,1399.00,荣耀京东自营旗舰店
18,85万+,"自营,闪购",荣耀 V10 高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,2099.00,荣耀京东自营旗舰店
19,4.8万+,自营,【OPPO全新系列】K1 OPPO首款千元屏幕指纹手机 6G+64G 银光绿 全网通 移动联通电信4G 双卡双待,1799.00,OPPO京东自营官方旗舰店
20,43万+,自营,小米 红米6A AI美颜 3GB+32GB 流沙金 全网通4G手机 双卡双待,599.00,小米京东自营旗舰店
21,9.1万+,"自营,新品",Apple iPhone XR (A2108) 64GB 白色 移动联通电信4G手机 双卡双待,6499.00,京东Apple产品专营店
22,8.6万+,"自营,新品,秒杀,券2490-300,赠",vivo NEX星迹版 零界全面屏AI双摄游戏手机 8GB+128GB 移动联通电信全网通4G手机 双卡双待,4298.00,vivo京东自营官方旗舰店
23,38万+,自营,小米 红米6 4GB+64GB 流沙金 全网通4G手机 双卡双待,829.00,小米京东自营旗舰店
24,66万+,自营,小米8 全面屏游戏智能手机 6GB+64GB 蓝色 全网通4G 双卡双待,2499.00,小米京东自营旗舰店
25,69万+,"自营,闪购",荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,799.00,荣耀京东自营旗舰店
26,14万+,"自营,新品",Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G手机 双卡双待,10999.00,京东Apple产品专营店
27,3.1万+,"自营,新品,赠",360手机 N7 Lite 全网通 4GB+32GB 幻影黑 移动联通电信4G手机 双卡双待 全面屏 游戏,999.00,360手机京东自营旗舰店
28,54万+,"自营,新品",小米 红米Note5 全网通版 6GB+128GB 黑色 移动联通电信4G手机 双卡双待,1319.00,小米京东自营旗舰店
29,6.5万+,"自营,新品",Apple iPhone XS (A2100) 64GB 金色 移动联通电信4G手机,8699.00,京东Apple产品专营店
30,27万+,"自营,品质优选",华为 HUAWEI nova 3e 全面屏2400万前置摄像 4GB +64GB 克莱因蓝 全网通版移动联通电信4G 双卡双待,1499.00,华为京东自营官方旗舰店
31,4.9万+,"自营,新品",魅族 16th 全面屏游戏手机 6GB+128GB 静夜黑 全网通移动联通电信4G手机 双卡双待,2998.00,魅族京东自营旗舰店
32,7.5万+,自营,小米Max3 大屏游戏智能手机 6GB+128GB 黑色 全网通4G手机 双卡双待,1899.00,小米京东自营旗舰店
33,2.6万+,"自营,满赠",魅族 M15 全面屏手机 全网通公开版 4GB+64GB 曜岩黑 双卡双待 魅族 15青春版,1198.00,魅族京东自营旗舰店
34,5.2万+,"自营,券2000-200",三星 Galaxy S8+（SM-G9550）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,4199.00,三星手机京东自营官方旗舰店
35,17万+,"自营,券500-50",华为畅享8 Plus 高清四摄大电池 4G+64G 金色 全网通版 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗舰店
36,12万+,自营,360手机 N7 全网通 6GB+128GB 石墨黑 移动联通电信4G手机 双卡双待 全面屏 游戏,1499.00,360手机京东自营旗舰店
37,6800+,自营,魅族 V8 全面屏手机 4GB+64GB 曜黑 全网通移动联通电信4G手机 双卡双待,1098.00,魅族京东自营旗舰店
38,7000+,"自营,新品,赠",华为 HUAWEI Mate 20 X 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB宝石蓝全网通版双4G,4999.00,华为京东自营官方旗舰店
39,40万+,自营,飞利浦（PHILIPS） E106 石墨黑 环保材质 防尘防滑 直板按键 移动联通2G 双卡双待 老人 学生备用功能机,99.00,飞利浦手机京东自营旗舰店
40,2.2万+,"自营,新品,赠",华为 HUAWEI Mate 20 Pro (UD)屏内指纹版麒麟980芯片全面屏超大广角徕卡三摄8GB+128GB亮黑色全网通双4G,5999.00,华为京东自营官方旗舰店
41,20万+,自营,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 蓝色 移动联通电信4G手机 双卡双待,1279.00,华为京东自营官方旗舰店
42,122万+,自营,荣耀9青春版 全网通 标配版 3GB+32GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,999.00,荣耀京东自营旗舰店
43,8.9万+,自营,三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,3599.00,三星手机京东自营官方旗舰店
44,14万+,自营,努比亚（nubia）Z17mini 6GB+64GB 香槟金 全网通 移动联通电信4G手机 双卡双待,999.00,努比亚京东自营旗舰店
45,38万+,自营,小米 红米6 3GB+32GB 铂银灰 全网通4G手机 双卡双待,729.00,小米京东自营旗舰店
46,9.9万+,自营,华为 Mate 9 Pro 6GB+128GB版 琥珀金 移动联通电信4G手机 双卡双待,2999.00,华为京东自营官方旗舰店
47,85万+,"自营,秒杀",Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机,5499.00,京东Apple产品专营店
48,49万+,自营,诺基亚（NOKIA）新105 黑色 直板按键 移动联通2G手机 老人手机 学生备用功能机,149.00,诺基亚手机京东自营旗舰店
49,3200+,"免邮,赠,险",Apple 苹果 iPhone Xs 移动联通电信4G手机 金色 64GB,8008.00,新松联手机旗舰店
50,4.2万+,自营,锤子（smartisan） 坚果 R1 8G+128GB 碳黑色 全面屏双摄 全网通4G 双卡双待 游戏,3199.00,锤子科技京东自营旗舰店
51,3.3万+,"免邮,满99-1,赠,险",小米（MI） 红米6A 智能老人手机 流沙金 全网通 2G+16G,529.00,佳沪手机旗舰店
52,7000+,自营,中兴天机 Axon M 黑色 4G+64G 折叠双屏 精彩纷呈 双卡双待全网通4G手机,1988.00,中兴手机京东自营官方旗舰店
53,9.1万+,"自营,新品",华为 HUAWEI nova 3i全面屏高清四摄游戏手机 6GB+64GB 蓝楹紫 全网通移动联通电信4G 双卡双待,1999.00,华为京东自营官方旗舰店
54,3.1万+,自营,三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G 游戏 双卡双待,4699.00,三星手机京东自营官方旗舰店
55,2900+,"自营,新品",小米Mix3 6GB+128GB黑色 骁龙845 全网通4G 双卡双待 全面屏拍照游戏智能手机,3299.00,小米京东自营旗舰店
56,3.2万+,自营,努比亚 nubia 红魔 全面屏 游戏手机 8GB+128GB 烈焰红 移动联通电信4G手机 双卡双待,2699.00,努比亚京东自营旗舰店
57,6300+,"京东物流,新品,赠,险",OPPO 【3期免息！2色可选】 K1 首款千元屏下指纹解锁手机 6.4英寸水滴屏 摩卡红（6+64G）,1799.00,OPPO官方直营旗舰店
58,6.4万+,"自营,赠",OPPO A1 全面屏拍照手机 3GB+32GB 樱桃红 全网通 移动联通电信4G 双卡双待手机,999.00,OPPO京东自营官方旗舰店
59,16万+,"自营,券500-50,赠",华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G手机 双卡双待,1199.00,华为京东自营官方旗舰店
60,2.1万+,"免邮,满99-1,赠,险",小米（MI） 红米6A 老人手机 流沙金 2GB+16GB全网通,530.00,新松联手机旗舰店
61,3.2万+,自营,诺基亚 NOKIA 8110 移动联通4G手机 黄色 直板按键 双卡双待 经典复刻 炫酷滑盖 4G热点备用功能机,499.00,诺基亚手机京东自营旗舰店
62,2.6万+,"自营,赠",联想S5 Pro 6GB+64GB 冰魄蓝 2000万AI四摄 偶像级自拍 光学变焦 全网通4G手机 双卡双待,1398.00,联想手机京东自营官方旗舰店
63,39万+,自营,锤子（smartisan ) 坚果 Pro 2 6G+128GB 酒红色 全面屏双摄 全网通4G手机 双卡双待 游戏,1599.00,锤子科技京东自营旗舰店
64,19万+,自营,华为畅享7 Plus 4GB+64GB 粉色 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗舰店
65,7300+,"自营,秒杀",联想A5 3GB+16GB 螺黛黑 5.45英寸全面屏 全网通手机 双卡双待,467.00,联想手机京东自营官方旗舰店
66,66万+,自营,小米8 全面屏游戏智能手机 6GB+64GB 黑色 全网通4G 双卡双待,2499.00,小米京东自营旗舰店
67,8900+,自营,飞利浦（PHILIPS） X598 曜石黑 4G+64G 全网通4G 双卡双待 商务智能手机,799.00,飞利浦手机京东自营旗舰店
68,15万+,自营,华为 HUAWEI 麦芒 6 全网通 4GB+64GB版 曜石黑 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗舰店
69,10万+,自营,飞利浦（PHILIPS） E316 深宝蓝 大屏超长待机 直板按键 移动联通2G 双卡双待 老人 学生备用功能机,238.00,飞利浦手机京东自营旗舰店
70,5300+,秒杀,vivo Y83 全面屏手机 移动联通电信4G手机 双卡双待 4G+32G 极夜黑,999.00,vivo官方旗舰店
71,2800+,"新品,免邮,赠",OPPO K1 首款千元屏下指纹解锁手机 6.4英寸水滴屏 R17同款A5升级版 全网通 双卡双待 梵星蓝 4G+64G,1599.00,牧申手机旗舰店
72,1.5万+,"免邮,赠,险",小米（MI） 红米6 Pro 手机 曜石黑 全网通 4G+64G,1018.00,佳沪手机旗舰店
73,4800+,"京东物流,闪购,赠",vivo X23 屏幕指纹手机 AI非凡摄影 拍照超大广角 水滴屏 4G全网通 智能手机 魅影紫,3498.00,vivo官方旗舰店
74,20+,"自营,赠",三星 Galaxy A6s (SM-G6200) 全面屏 渐变色 性价比智能手机 6GB+64GB 花木蓝 全网通4G 双卡双待,1799.00,三星手机京东自营官方旗舰店
75,9600+,自营,三星 Galaxy A9 Star lite（SM-A6050）4GB+64GB版 夜空黑 移动联通电信4G手机 双卡双待,1499.00,三星手机京东自营官方旗舰店
76,1.1万+,"自营,新品,赠",OPPO A5 全面屏拍照手机 3GB+64GB 幻镜蓝 全网通 移动联通电信4G 双卡双待手机,1299.00,OPPO京东自营官方旗舰店
77,4200+,自营,ROG游戏手机 8GB+512GB 骁龙845 液冷散热 全面屏 全网通4G双卡双待,7999.00,ROG京东自营官方旗舰店
78,2万+,"自营,秒杀,券1000-100",meitu/美图M8s 芭比粉 4GB+64GB 自拍 云美化 夜景美化 智能 正品 手机 电影人像 4G全网通,1398.00,美图京东自营官方旗舰店
79,3.1万+,"自营,券2000-200",三星 Galaxy Note8（SM-N9500）6GB+128GB 星河蓝 移动联通电信4G手机 双卡双待,4699.00,三星手机京东自营官方旗舰店
80,1900+,"京东物流,免邮,赠,险",OPPO K1【分期免息】千元屏幕指纹手机游戏拍照 R15x R17 A5 A3 A1 A7x相似款 K1 梵星蓝(6G+64G),1799.00,OPPO酷炫手机专卖店
81,1万+,免邮,小米（MI） 小米Max2 4G手机 双卡双待 金色 全网通(4G+64G)高配版,995.00,牧申手机旗舰店
82,38万+,自营,vivo Z1极光特别版 新一代全面屏AI双摄手机 4GB+64GB 移动联通电信全网通4G 双卡双待,1398.00,vivo京东自营官方旗舰店
83,9700+,"自营,券4500-100,赠",【屏幕指纹解锁礼盒版】vivo X21游戏手机 6GB+128GB 胜利红 移动联通电信全网通4G 双卡双待,2998.00,vivo京东自营官方旗舰店
84,2.6万+,"自营,满赠",魅族 M15 全面屏手机 全网通公开版 4GB+64GB 曜岩黑 双卡双待 魅族 15青春版,1198.00,魅族京东自营旗舰店
85,2.1万+,"京东物流,免邮,赠,险",Apple 苹果6 iPhone6手机 金色 全网通标配 32GB,2368.00,明日手机专营店
86,6400+,"闪购,免邮,赠,险",华为（HUAWEI） 荣耀Play 游戏手机 幻夜黑 全网通6GB+128GB尊享版,2399.00,佳沪手机旗舰店
87,3200+,自营,一加手机6T 8GB+128GB 墨岩黑 光感屏幕指纹 全面屏双摄游戏手机 全网通4G 双卡双待,3599.00,一加手机京东自营官方旗舰店
88,1.1万+,"免邮,赠",小米（MI） mix2s 全网通手机 黑色 全网通 6G+128G,2998.00,鹏路网络手机旗舰店
89,3.9万+,自营,天语（K-TOUCH）Q21 移动/联通2G 直板按键 双卡双待 老人手机 学生备用功能机 金色,59.00,天语手机京东自营官方旗舰店
90,0,自营,联想Z5 Pro 6GB+64GB 陶瓷黑 滑盖全面屏 2400万AI四摄 光电屏下指纹 全网通4G 双卡双待,1998.00,联想手机京东自营官方旗舰店
91,3300+,自营,飞利浦（PHILIPS） S626L 金色 智能老人手机 6英寸学生八核游戏 移动联通电信4G全网通 商务安卓智能,499.00,飞利浦手机京东自营旗舰店
92,1700+,"新品,免邮,赠",OPPO K1【3期免息】首款千元屏幕指纹手机 屏下指纹解锁 6.4英寸水滴屏 R17同款A5升级版 梵星蓝 4G+64G 官方标配,1599.00,牧申手机旗舰店
93,76万+,自营,荣耀10 GT游戏加速 AIS手持夜景 8GB+128GB 幻夜黑 全网通 移动联通电信4G 双卡双待 游戏,3099.00,荣耀京东自营旗舰店
94,5.9万+,自营,天语（K-TOUCH）T3 直板 按键 超长待机 三防老人手机 双卡双待 2G移动/联通版 黑色,158.00,天语手机京东自营官方旗舰店
95,1.7万+,"免邮,险",小米（MI） 小米6X 手机 曜石黑 全网通 6GB+64GB,1388.00,易道手机专营店
96,1万+,"京东物流,赠",华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人手机 双卡双待 金色 (2G RAM+16G ROM),599.00,众盛手机专营店
97,10万+,自营,努比亚（nubia）Z17 无边框 旭日金 6GB+64GB 全网通 移动联通电信4G手机 双卡双待,1799.00,努比亚京东自营旗舰店
98,1100+,"京东物流,新品,赠,险",OPPO 【3期免息！双色可选】 K1 首款屏下指纹水滴屏手机 4G+64G版 梵星蓝,1599.00,OPPO官方直营旗舰店
99,900+,"秒杀,免邮,赠,险",Apple 苹果 iphone XS 手机 金色 全网通 64G,7898.00,易道手机专营店
100,2.7万+,"自营,赠",vivo Z3 6GB+64GB 极光蓝 性能实力派 全面屏游戏手机 移动联通电信全网通4G手机 双卡双待,1898.00,vivo京东自营官方旗舰店
101,1.3万+,"京东物流,免邮,赠,险",华为（HUAWEI） 荣耀畅玩7 全面屏 智能老人手机 蓝色 全网通（2G+16G）,599.00,博海宇通手机旗舰店
102,1.6万+,"京东物流,免邮,赠,险",Apple 苹果5s iPhone 5s (A1530) 4英寸 移动联通双4G手机 金色 官方标配 16G,1199.00,明日手机专营店
103,5.5万+,自营,努比亚nubia Z17miniS 小牛8 深海蓝 6GB+64GB 全网通 移动联通电信4G手机 双卡双待,1299.00,努比亚京东自营旗舰店
104,2100+,"免邮,赠",华为（HUAWEI） 荣耀Play 手机 幻夜黑 6G+128G全网通,1999.00,鹏路网络手机旗舰店
105,3.3万+,"自营,券4000-300",Meitu 美图T8s 烈焰红 4GB+128GB 美颜拍照 电影人像 夜间云美化 智能 移动4G+,2299.00,美图京东自营官方旗舰店
106,31万+,自营,360手机 N6 全网通 6GB+64GB 璀璨金 移动联通电信4G手机 双卡双待,1199.00,360手机京东自营旗舰店
107,4100+,"自营,赠",联想K5 Pro 6GB+64GB 格调黑 千元影霸 1600万AI四摄 4050mAh大电池 全网通4G 双卡双待,1098.00,联想手机京东自营官方旗舰店
108,1300+,"京东物流,免邮,赠,险",OPPO K1手机 【购机送智能手环】 骁龙660 R15 R17 A7x同款 A5 A3升级版 梵星蓝 6G+64G 双卡双待,1799.00,OPPO优品专卖店
109,3.9万+,"免邮,赠,险",Apple 苹果 iPhone X 全面屏手机 深空灰色 全网通 256GB,8388.00,佳沪手机旗舰店
110,700+,"秒杀,免邮,险",小米（MI） 小米8 游戏手机 黑色 6GB+128GB,2599.00,京联通达旗舰店
111,2600+,"满288-8,赠",朵唯（DOOV） V11 移动联通双4G智能手机超薄老人4G手机 学生女性大屏大字超薄老年智能 星光金 1G+8G,288.00,智慧源手机专营店
112,2.3万+,"自营,券2000-200",三星 Galaxy Note8（SM-N9500）6GB+64GB 旷野灰 移动联通电信4G 游戏 双卡双待,4499.00,三星手机京东自营官方旗舰店
113,5400+,"免邮,满3388-200,赠,险",华为（HUAWEI） P20 全面屏 手机 极光 全网通（6G+128G）【送华为原装好礼】,3888.00,掌视界数码旗舰店
114,5000+,"免邮,赠",小米（MI） 小米8 全面屏游戏手机s 黑色 全网通（6G+128G）,2569.00,聚捷联盛手机旗舰店
115,2900+,"免邮,满1999-120",华为（HUAWEI） nova3e 全面屏 手机 幻夜黑 4GB+128GB,2119.00,鹏路网络手机旗舰店
116,1500+,"新品,免邮,赠",Apple 苹果 iPhone XS 全网通手机 金色 64G,7949.00,牧申手机旗舰店
117,600+,"赠,险",欧奇（OUKI） K10 一万毫安大电池 超长待机智能手机 6+128GB 全网通4G 轻奢商务 双卡双待 黑色,3999.00,欧奇手机官方旗舰店
118,4300+,"京东物流,免邮,赠,险",华为（HUAWEI） 华为畅享7 4G智能手机 香槟金 全网通(3G+32G),748.00,明日手机专营店
119,6.3万+,自营,天语（K-TOUCH）E2 电信2G 直板按键老人手机 超长待机学生备用 老年机 金色,145.00,天语手机京东自营官方旗舰店
120,7900+,"免邮,赠",华为（HUAWEI） 荣耀v10 手机 魅丽红 尊享版（6GB+128GB）,2399.00,鹏路网络手机旗舰店
121,30万+,自营,荣耀Play 全网通版 6GB+128GB 幻夜黑 移动联通4G全面屏游戏手机 双卡双待,2399.00,荣耀京东自营旗舰店
122,4300+,"京东物流,免邮,赠",华为（HUAWEI） 华为畅享8 手机 蓝色 全网通（4G+64G）,1099.00,聚捷联盛手机旗舰店
123,1.2万+,"京东物流,免邮,券500-10,赠,险",华为（HUAWEI） 荣耀 畅玩6 全网通4G智能手机 双卡双待 金色（2G+16G）,546.00,OKSJ手机旗舰店
124,600+,"新品,免邮,满2100-300,赠,险",华为（HUAWEI） 华为麦芒7 手机6 5 魅海蓝 6G+64G全网通,2399.00,炜东电商旗舰店
125,4000+,"京东物流,免邮,赠,险",华为（HUAWEI） 华为nova3 手机 蓝楹紫 全网通(6G+128G),2799.00,炜东电商旗舰店
